g45µ|sba|pf|so3|mgo|sio2|fe2o3|caot|al2o3|na2o|k2o|r1_iram1622|r2_iram1622|r3_iram1622|r7_iram1622|r28_iram1622
3.812794629958638|-1.14842494120993|-0.9615840846592775|0.06609256798056122|1.331345907189993|1.0139142041982065|0.6802528577859925|-1.1391525086925387|1.4135971717683533|0.26863525672830574|0.37020583569695464||31.3||50.1|61.8
4.248908469474326|-0.9978650931075477|-1.2463874109402555|-0.02800070280332232|-0.27525015320417734|1.4098756785557485|-0.7293886332829359|-1.0265418989671324|0.8391994426902981|0.8519306917922146|0.03943224387130075|19.1|32.2|37.9|49.4|60.5
4.248908469474326|-0.9978650931075477|-0.9615840846592775|0.1601858387644406|0.8149400306347242|1.530385692490653|0.3820594654444898|-0.19731831826192095|1.0648556933995346|0.6574988801042448|0.06487636631942802||32.0||47.4|61.5
4.514369067440397|-1.2487981732781852|-0.8020942219419299|-0.40437378593884815|-0.21787172247581407|1.2635420902062209|-0.7293886332829359|-0.3508782406147373|0.8186852380803681|0.6574988801042448|0.06487636631942802||29.9||46.2|60.1
2.37172281242854|-1.3491714053464403|-0.7565256897369736|-0.3102805151549646|-0.3900070146609039|1.4529149692467862|-0.5125207115800234|-1.0470165552808446|0.9622846703498805|0.8519306917922146|0.11576461121568254|17.5|30.1|35.8|47.3|58.5
2.713029295527774|-0.3956257006980172|-0.9046234194030821|0.2542791095483241|-0.3900070146609039|1.4012678204175397|-0.5938461822186162|-0.8217953358300463|0.9622846703498805|0.8519306917922146|0.19209697856006433||30.8||45.6|58.0
4.817752607973049|1.059786164291681|0.15484495436215662|0.1601858387644406|-0.3900070146609039|1.2205027995151834|0.5447104067216729|0.17122549538484128|1.1469125118392567|0.6574988801042448|0.013988121423173485||30.5||44.0|55.2
3.4335652042928224|0.20661369171151311|-0.528683028712191|1.0070252758193758|-0.1604932917474508|1.2893656646208442|-0.7022801430700724|-1.384848384457042|1.187940921059117|0.8519306917922146|0.8282000397632454||31.2||44.1|57.3
1.9166475016295619|-0.3956257006980172|-0.8020942219419299|0.2542791095483241|-0.27525015320417734|1.4701306855232008|-0.8649310843472555|-1.436035025241319|0.20325909978245085|0.8519306917922146|0.6755353050744818||30.4||46.0|57.0
2.959528422210554|-0.8974918610392926|-0.813486354993169|-0.21618724437108522|-0.5047638761176297|1.2549342320680152|0.35495097523162633|-1.3234244155159198|1.0648556933995346|1.0463625034801844|0.5228705703857183||30.2||44.9|57.5
0.4945371553827542|-0.6967453969027825|-0.5970358270196258|-0.02800070280332232|-0.21787172247581407|0.6179527298406646|0.8429037990631781|-0.19731831826192095|1.269997739498839|0.46306706841627526|0.5228705703857183|17.1|30.0|35.0|45.5|56.7
2.6182219391113195|-0.9476784770734201|-0.4033695651485607|-0.592560327506611|-0.27525015320417734|1.0741692111656587|-0.7836056137086652|-0.5556248037518307|0.757142624250576|0.6574988801042448|-0.01145600102495378||31.1||46.8|57.9
1.7080713175133628|0.25680030774564067|-0.6767807583782994|0.2542791095483241|-0.21787172247581407|1.4184835366939543|-0.5938461822186162|-1.364373728143337|1.0443414887896028|0.8519306917922146|-0.036900123473081047||32.1||49.2|59.4
0.03946184458377536|0.005867227575002997|-0.8362706210956473|-0.40437378593884815|-0.21787172247581407|1.5217778343524442|-0.6209546724314796|-0.8832193047711757|1.0443414887896028|0.8519306917922146|-0.08778836836933558||30.7||48.3|58.7
